Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$,affinity
20422747,0xbf65b939b1904dadfef6c9b2267878209651cd1e,1.0413,Tether : Binance,17,"[nan 'Stargate' nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 nan]",1065.72,62.69,2,8,9,45.14,"[0.0, 0, 0, 0, 0.67]",28
20422732,0x1a5982eb804cd010eebf9f0f79d29f0b89a6ddd5,1.0335,Tether : Binance,16,"['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan nan nan 'Stargate' 'Stargate' nan 'Stargate']",1085.45,67.84,2,7,8,46.76,"[0.0, 0, 0, 0, 0.67]",28
20422731,0x3c602e9f54d50f3e902160f6f59310b21f1c6e82,1.0343,Tether : Binance,17,"['Stargate' nan 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan]",1062.34,62.49,2,8,9,37.79,"[0.0, 0, 0, 0, 0.67]",28
20422724,0xe63dbcab4d8415c4d4039a06ed4b903d73e2fd21,1.0419,Tether : Binance,17,"[nan nan nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate']",1072.62,63.1,2,8,9,45.24,"[0.0, 0, 0, 0, 0.67]",28
20422715,0x5588594bebb59358e192df1b8e400ea07f98ded8,1.0328,Tether : Binance,18,"['Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan nan nan 'Stargate' nan 'Stargate'
 nan 'Stargate']",1063.72,59.1,2,9,10,38.83,"[0.0, 0, 0, 0, 0.67]",28
20422705,0x9a4a89bbe827e8f0e7f2af446a92030d0398f2f8,1.031,Tether : Binance,16,"['Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan nan nan 'Stargate']",915,57.19,2,7,8,45.53,"[0.0, 0, 0, 0, 0.67]",28
20422701,0x2de973c1deefa5eb3c916074a339b3458249a826,1.044,Tether : Binance,17,"['Stargate' nan 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 nan]",1053.67,61.98,2,8,9,44.48,"[0.0, 0, 0, 0, 0.67]",28
20422688,0x439fad1bb6a7bc3213a472d1255e093936a2bd4d,1.0302,Tether : Binance,17,"[nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan nan 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate']",1145.18,67.36,2,8,9,43.96,"[0.0, 0, 0, 0, 0.67]",28
20422880,0xcba12b9219d1acef2bfb3fc2e32836e2e36639f2,1.0766,Tether : Binance,18,"['Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' nan nan]",1142.92,63.5,2,7,8,48.12,"[0.0, 0, 0, 0, 0.68]",29
20422865,0xb499029f595a82b42102b325cfab046216eb673e,1.0701,Tether : Binance,18,"['Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' nan
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 nan 'Stargate']",1247.37,69.3,2,8,9,44.02,"[0.0, 0, 0, 0, 0.68]",29
20422863,0x487c2bc56df65f4ce6abd7bddb749835842271c2,1.0675,Tether : Binance,17,"['Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' nan nan
 'Stargate']",1088.77,64.05,2,8,9,46.79,"[0.0, 0, 0, 0, 0.68]",29
