Funding block,address,Funding Amount[CELO],Funding Entity
20537671,0x44863327dcbc6b5d4949a292b4bf65b3b8570b57,0.943,Tether : Binance
20537663,0xfcb8b49982be359ad0469dd0397337740a04577b,0.947,Tether : Binance
20537659,0xe419508c2c3436915c1c96295d2ee5f3ac5e31c2,0.94,Tether : Binance
20537650,0x02e3de68fd3c63f4042b11e83f938bee1b7baf69,0.943,Tether : Binance
20537644,0x07bad8f7a7c1749d1446afb5b6380d9a1b7b950b,0.94,Tether : Binance
20537641,0xcffdafdc5df35e6e07e1b89fb26d530e9e8f9828,0.999,Tether : Binance
20537633,0x6718a80b1ddbd5ae74b9a3fa5300299e7c0fe280,0.94,Tether : Binance
20537625,0x68e35d63121362e7ff88e98fe3e979d00cb5adcc,0.949,Tether : Binance
20537617,0xf9e994ce2db742f52af5e5bcf18f5802173bd7f5,0.939,Tether : Binance
20537606,0x99a4b17aabc808a482fcdb19069e81c58c45fb40,0.945,Tether : Binance
20537601,0xd331c28b5ee51bf5d2a56faa3c7eb23298690c12,0.949,Tether : Binance
20537593,0xb03837e6b53526b5f8a43d36f8d63ef6c963ee71,0.944,Tether : Binance
20537587,0x409e69bd9661897a71115b703394c666e3a4010e,0.946,Tether : Binance
20537580,0x18002f0e11378ca8b4e5cc9519de2c2493de0004,0.942,Tether : Binance
20537572,0x697e20307552031db4827402cb7a0fac972e3fce,1.099,Tether : Binance
20537570,0xc0786957b5ccb06a63e0ad33b1959d5209a76d20,0.944,Tether : Binance
20537563,0x398240b4009d4cbfc82f70a6adbf99edb09aba37,0.942,Tether : Binance
20537559,0x9d72221e4eee9c83da6ec439163207054ac6a6cc,0.949,Tether : Binance
20537548,0x8342732d8e60680d125426f8cc79d9380d4b0a8b,0.948,Tether : Binance
20537542,0x9e146390622ad827f4a805374e879de439d4a99b,0.945,Tether : Binance
20537534,0x25de86c34438ab1a7f6220818b10dfa007de0f82,0.948,Tether : Binance
20537466,0x35f07265d5bf87e6a5d16bd7a11899c4419933cf,0.934,Tether : Binance
20537461,0xf6c5a1388a543d133f046fe7d981da3e8141f316,0.929,Tether : Binance
20537450,0xe69d9220cfeb7372cb04749c47ca5088eea170ef,0.933,Tether : Binance
20537441,0x314ac437c5a2100d1d245dc151217a80628b9e50,0.93,Tether : Binance
20537433,0x9603d1b8826167fc1889855a465b84904ec5f3b2,0.934,Tether : Binance
20537425,0x1a6d1448f5fd84b8568e3c1eacdfb9f38b27e0be,0.937,Tether : Binance
20537419,0x2f8d4d3482670b0e65bc45a9c489ba88e07cbb7c,0.935,Tether : Binance
20537409,0x6fb919c101c22f0185c0d535172fb5b59280835c,0.934,Tether : Binance
20537402,0x0e6dda9d82cc72e05aa2de1c3d77ad74ed1f9aed,0.933,Tether : Binance
20537393,0x0ff5c3e43e39cd79c3e8e0ce70178b134d434905,0.94,Tether : Binance
20537389,0x6506a422bb4123d2a218a016a445505b04099d01,0.937,Tether : Binance
20537379,0x1e29da9472833b7e6089ae94c68c6c69f0fbfd60,0.935,Tether : Binance
20537375,0x1dce9cbbbaa8c6582c2c59500f2443cdc057a84d,0.937,Tether : Binance
20537366,0x146d231623abfec3afdb1fcde1ed1f63505d8c1a,0.932,Tether : Binance
20537356,0x8d9aac07e3a3236d1bebf118dcca0108bac90f6b,0.931,Tether : Binance
20537352,0x9cc95e8e08551aa11bcec21d54e946e67e54b525,0.934,Tether : Binance
20537339,0x3bf500da9010dd891eaff400b68e388efa009178,0.933,Tether : Binance
20537332,0x187b17d2efcedb5b1e0ddcb01c1d9a2db1013c87,0.939,Tether : Binance
20537323,0x65099abeaf0a307c19e2e380fc184ee140b7cc6d,0.934,Tether : Binance
20537315,0x64b5d1fd145f271d41c5d35ec883bd0a4429f0d8,0.934,Tether : Binance
20537306,0x31ace1320968a7a23f1b0c414d9cdfa42947d54d,0.939,Tether : Binance
20537301,0x1b46c8cbb3b3d28542431364f64af182432ab6d3,0.936,Tether : Binance
20537295,0x99640da5d16b7aefc8e0483d3749f2573afe952f,0.939,Tether : Binance
20537284,0x8a6100b344d0a796208b877c6dbe2a5913d764e2,0.929,Tether : Binance
20537275,0x29aee664cec93abfe8a66b37f9b1ad01bf5683a6,0.939,Tether : Binance
20537267,0x00dc9870f7d86a4f2fc845d74166b4ed5dbe74c6,0.932,Tether : Binance
20537260,0x8bd2d07afbef8cdf894e59407aa2ab43d26b0f68,0.937,Tether : Binance
20537253,0xcb114f87c27ff5a3865d7c8eda057efc406ac03d,0.933,Tether : Binance
20537248,0x9130110fd97cdc1fc282bc64902b219534c02296,1.099,Tether : Binance
20537245,0x95fe57347c9adb508f3ee267a96c12d543fb330f,0.936,Tether : Binance
20537239,0x572c4f2d55468eb3761475b8b4bf3ba9c38a8e7c,0.999,Tether : Binance
20537236,0x5fef608ea3950c575c8ed37780603f12c00696eb,0.933,Tether : Binance
20537232,0x4d96fdea256014f25cc5306293b5aaabdd89bcdb,0.999,Tether : Binance
20537232,0xd98ff2e67c4e7286a4b6fe32080fcd1e2fe38d72,0.936,Tether : Binance
20537221,0x667f1f8908868e667e5edd7592eb3d2dd3f8096b,0.934,Tether : Binance
20537213,0x9a9921cbd40481a3d6b19c35f1adbab12339b00e,0.939,Tether : Binance
20537205,0xa6f9720957814774a157c9d856d1e42f5dba7513,0.93,Tether : Binance
20537198,0x2783f05f82c3c6eb7e3f58f52a7fa4ed1f5e72be,0.937,Tether : Binance
20537193,0x5ed34da25b88cba18069d1729dda7d8238a3cfc1,0.939,Tether : Binance
20537183,0x0c9aa0276afbdfacd23524521409c6bdbd47e0db,0.935,Tether : Binance
20537173,0xcb8b64674c35a7155d9c1b26940fd021d148e1cd,0.939,Tether : Binance
20537165,0x82579130a80795cb4dae2c89e11fd4b9f05a3b83,0.935,Tether : Binance
20537158,0x75260d3aad272122731073ba88afcebb0a0c2f19,0.938,Tether : Binance
20537152,0x0f86f503db2c6d781edd05c226a88f66e5a33479,0.937,Tether : Binance
20537142,0xd0a68fde37cbc8fd805cbbf5c12290076e9ccbbc,1.099,Tether : Binance
20537142,0x3d6edebb7779c9f3397586af04df49ae4e896898,0.932,Tether : Binance
20537133,0x8de8e4f8861044d525f9d80df3ff3c7b3d71d341,0.934,Tether : Binance
20537125,0x5af4cccce0453755d3a85128cce26d11868d58d1,0.937,Tether : Binance
20537119,0x92c2dfc634edd96818dbc9f1f32b5706e02907d3,0.936,Tether : Binance
20537112,0xb36e5d60c96538b92883eb5ac7714bcf980c79ed,0.934,Tether : Binance
20537102,0x5a3c415c4867dc0c67469847d5a890f0209bf569,0.929,Tether : Binance
20537094,0x7d0e1442cdb7b959f6ffc5620e3342c745fd0cfa,0.939,Tether : Binance
20537089,0x113029eaf63218acc0db0916ca198744960a349a,0.939,Tether : Binance
20537083,0xd53c58cbe0f8962926448c2a28b18bfe303968d6,0.937,Tether : Binance
20537073,0x7a49d44a755b1b40028735c60db938427d71f784,0.93,Tether : Binance
20537068,0x1d68a386c54a0c68c996d083ea0568509b927a53,1.099,Tether : Binance
20537068,0x3c88dfe26eea5b450a87e959daf734028d3ea2a6,0.934,Tether : Binance
20537057,0x589f350b601793094caed97c25c0807d047c3924,0.929,Tether : Binance
20537049,0x9239da535d8fe4891dd4b3ce51b7adb9252439c9,0.931,Tether : Binance
20537039,0x2f407c60328b8c535bb7715c85609d2b701a1b1a,0.935,Tether : Binance
20537030,0xa8d52c576f186f9f5d07c0ca9c7d6460b15e0df3,0.934,Tether : Binance
20537023,0x83ae378181a40be2f707799ea81bace63a7dbda7,0.929,Tether : Binance
20537015,0xa5242751685f837c82648b001fa89ac04153f539,0.929,Tether : Binance
20537011,0x758d87699fa2957534be2089656e840f97f2734b,0.936,Tether : Binance
20537001,0xfa451fa1cd832e6dce88da6e2c75e0d63d7af16b,0.94,Tether : Binance
20536994,0x837ce8da6bb7fe4c261ca2e1781196bb8f3b9b69,0.933,Tether : Binance
