Funding block,address,Funding Amount[CELO],Funding Entity,Exists_in_Large_File,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,EarliestLZdata,affinity,Onmichain Balance$,eth linea base scroll zks Balance$
20405834,0x340fe6d37d84ff72344deaca1d1e5de367bede13,1.999,Tether : Binance,FALSE,22,"['Bitcoin Bridge' nan nan 'Maverick Protocol' 'Stargate' nan 'Stargate'
 'Stargate' 'Holograph' 'Stargate' nan 'Merkly' 'Merkly' 'Stargate' nan
 'Stargate' nan nan nan 'Stargate' 'Stargate' 'Stargate']",815.61,37.07,6,7,13,2023/3/26 19:02,14,53.01,"[4.22, 0, 0.7, 12.12, 11.76]"
20402947,0x842e84c8d0cb17ab838d82f82314cc0211cf721e,1.999,Tether : Binance,FALSE,26,"['Stargate' nan nan 'Stargate' nan 'Bitcoin Bridge' 'Stargate' 'Stargate'
 nan 'Stargate' nan 'USDV' 'Aptos Bridge' 'Omni X' nan nan 'L2Pass' nan
 'Stargate' 'Stargate' 'Holograph' 'USDV' 'Stargate' 'Stargate' 'Stargate'
 'Stargate']",1316.89,50.65,8,7,12,2023/4/16 19:04,14,275.04,"[11.19, 23.07, 1.9, 0, 41.88]"
20795589,0xabaff7f1781cf315ee5db8491e7515df12da7dc4,2.0001,Tether : Binance,FALSE,24,"[nan 'Stargator' nan nan 'Stargate' nan 'Stargate' nan nan 'Stargate'
 'Stargate' 'Orderly Network' 'CoreDAO' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' 'Holograph'
 'Stargate']",45237.94,1884.91,6,9,11,2023/5/23 9:03,15,194.07,"[28.26, 39.08, 5.59, 0, 43.38]"
20795330,0xd6dced04a617bacfb7a520f9b04b20b3585b6111,2.0005,Tether : Binance,FALSE,25,"['Stargator' 'Stargate' nan nan 'Stargate' nan nan 'Stargate' 'Stargate'
 'Stargate' 'Holograph' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan 'CoreDAO' 'Stargate' 'Stargate' 'Stargate'
 'Orderly Network' nan nan]",44304.03,1772.16,6,9,11,2023/5/23 15:39,15,214.03,"[63.68, 18.39, 14.08, 0.13, 43.51]"
20795327,0xe927e17db6413f27f7abc48178359131a5a2782a,2.0008,Tether : Binance,FALSE,26,"[nan 'CoreDAO' 'Stargate' 'Orderly Network' 'Stargate' 'Stargate' nan nan
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargator'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Holograph' nan
 'Stargate' 'Stargate' nan 'Stargate']",44344.09,1705.54,6,9,11,2023/5/23 15:24,15,238.88,"[72.74, 18.49, 23.56, 1.58, 46.51]"
20795324,0xf8b7f1d7c9262edf1a0b90ef0c0fbd034c846bd7,2.0015,Tether : Binance,FALSE,25,"['Holograph' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Orderly Network' 'Stargate' 'Stargator' nan 'Stargate'
 'Stargate' nan 'CoreDAO' nan 'Stargate' nan 'Stargate' nan 'Stargate'
 'Stargate' nan nan]",44290.46,1771.62,6,9,11,2023/5/23 15:22,15,235.76,"[72.81, 18.24, 22.31, 1.13, 44.65]"
20795294,0x40fdf535c918d5234684e0abdc6eeff353bb445d,2.0004,Tether : Binance,FALSE,26,"['CoreDAO' 'Stargate' 'Orderly Network' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate'
 nan nan nan nan 'Stargate' nan 'Stargate' 'Stargator' 'Holograph' nan nan
 'Stargate']",45319.96,1743.08,6,9,11,2023/5/23 15:28,15,176.03,"[32.37, 14.56, 17.18, 0, 44.09]"
20795294,0x6fe62681b3e16e2396ac68fdef2893c29739f6c0,2.0001,Tether : Binance,FALSE,26,"[nan nan 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate'
 'Stargator' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan
 'Stargate' nan nan 'Orderly Network' 'Holograph' nan 'Stargate' 'CoreDAO'
 'Stargate' 'Stargate']",45339.55,1743.83,6,9,11,2023/5/23 15:29,15,177.14,"[31.67, 14.71, 18.03, 0, 44.78]"
20795293,0xa1155422908bfe5fd4d91a75119d7ab60a9be6ff,2.0006,Tether : Binance,FALSE,26,"[nan 'Stargate' nan nan nan nan 'Holograph' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Orderly Network' 'Stargate'
 'Stargate' 'CoreDAO' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' 'Stargator' nan]",46028.27,1770.32,6,9,11,2023/5/23 15:47,15,161.77,"[20.32, 14.51, 15.93, 0, 43.71]"
20795288,0x190d6f0dd199a7038ab404a3be73def90d166c2b,2.002,Tether : Binance,FALSE,26,"['Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate'
 nan 'Stargator' nan 'Stargate' 'Stargate' 'CoreDAO' 'Orderly Network'
 'Holograph' nan]",44964.51,1729.4,6,9,11,2023/5/23 15:14,15,157.85,"[32.64, 7.3, 6.61, 0, 43.97]"
