Funding block,address,Funding Amount[CELO],Funding Entity,Exists_in_Large_File,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,EarliestLZdata,affinity,Onmichain Balance$,eth linea base scroll zks Balance$
20584528,0xdade6f20d11cbfa39332bbbac4fcc78e2ec6da8b,1.999,Tether : Binance,FALSE,66,"['DeFi Kingdoms' 'L2Marathon' 'Angle' 'L2Marathon' 'Angle' 'DeFi Kingdoms'
 'Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' 'Angle' 'Stargate'
 'Stargate' 'DeFi Kingdoms' 'L2Marathon' 'Stargate' 'l2telegraph' 'Angle'
 'Stargate' 'L2Marathon' 'Stargate' 'Angle' 'Stargate' 'Angle' 'Angle'
 'Angle' 'Angle' 'DeFi Kingdoms' nan 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Stargate' 'Angle' 'Merkly' 'Maverick Protocol' 'Angle'
 'Stargate' 'L2Marathon' 'Angle' 'Angle' 'DeFi Kingdoms' 'L2Marathon'
 'Stargate' 'Angle' 'L2Marathon' 'Stargate' 'L2Marathon' 'DeFi Kingdoms'
 'DeFi Kingdoms' 'Stargate' 'DeFi Kingdoms' 'Angle' 'Angle' 'Stargate'
 'Stargate' 'l2telegraph' 'DeFi Kingdoms' 'Angle' 'Angle' 'L2Marathon'
 'Angle' 'l2telegraph']",6111.18,92.59,8,12,15,2023/7/18 7:36,75,281.76,"[5.8, 32.59, 26.05, 0, 122.27]"
20581843,0x34164abf05a071637af9ebcbe4df3b36269411bc,1.999,Tether : Binance,FALSE,80,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan nan
 'Stargate' 'Stargate' 'Stargate' 'Angle' 'Harmony Bridge' 'Stargate'
 'GameSwift' 'Stargate' 'Harmony Bridge' 'Angle' 'Stargate' 'Angle'
 'Harmony Bridge' 'Stargate' 'Stargate' nan 'Stargate' 'Harmony Bridge'
 'Orderly Network' 'Harmony Bridge' nan 'Angle' nan 'Stargate' 'Stargate'
 'Angle' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan 'Stargate' 'Angle' 'Stargate' nan 'Angle' 'Stargate'
 nan nan nan 'Stargate' 'Stargate' 'Stargate' 'Maverick Protocol'
 'Stargate' 'Omni X' 'Orderly Network' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Harmony Bridge' 'Stargate' 'Angle' 'Stargate' 'Stargate' nan
 'Harmony Bridge' 'Harmony Bridge' 'Stargate' 'L2Marathon' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Angle' 'Stargate']",6880.14,86,9,14,18,2023/1/11 7:16,75,823.38,"[7.79, 74.82, 18.68, 0, 14.15]"
20569979,0x2e865643394c736b78789d36333521d708d61995,1.999,Tether : Binance,FALSE,94,"['Merkly' 'Stargate' 'CoreDAO' 'Bitcoin Bridge' nan nan 'CoreDAO'
 'Stargate' 'CoreDAO' 'Angle' 'Merkly' nan 'Stargate' 'Angle' nan 'Angle'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan nan
 'Angle' 'Angle' nan 'Angle' nan 'CoreDAO' nan nan 'CoreDAO' 'CoreDAO'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Merkly' 'Stargate' 'CoreDAO'
 'Stargate' 'Stargate' 'CoreDAO' 'Stargate' 'Angle' 'Stargate' 'CoreDAO'
 'Angle' 'Bitcoin Bridge' 'Stargate' 'Stargate' 'Holograph' nan nan nan
 nan 'Stargate' 'Stargate' 'Stargate' 'Testnet Bridge' 'Stargate' nan
 'Stargate' nan 'Merkly' 'Merkly' 'CoreDAO' 'Stargate' 'CoreDAO'
 'Stargate' nan 'Stargate' 'Angle' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Angle' 'Aptos Bridge' 'Stargate' 'Angle'
 'Stargate' 'Merkly' nan]",3309.08,35.2,9,13,22,2023/4/15 3:02,75,2749.65,"[974.95, 63.37, 148.37, 0, 163.99]"
20569555,0xb124faf41e0f2e37a96229564f2997c7b6e1a17f,1.999,Tether : Binance,FALSE,106,"[nan 'StakeStone' nan 'USDV' 'Stargate' 'Stargate' 'USDV' 'USDV'
 'Stargate' 'USDV' 'Stargate' 'Merkly' 'USDV' 'Interport Finance' nan
 'USDV' 'USDV' nan 'USDV' 'Stargate' nan 'USDV' 'Stargate' nan 'USDV'
 'Stargate' 'Merkly' 'Stargate' 'USDV' 'Holograph' 'Stargate' 'Stargate'
 'Holograph' 'Stargate' 'Merkly' 'USDV' 'USDV' 'USDV' 'Holograph'
 'Holograph' nan nan 'Holograph' 'USDV' 'Holograph' 'Stargate' 'Holograph'
 'USDV' nan nan 'USDV' 'USDV' 'Stargate' 'Merkly' 'Stargate' 'USDV'
 'Stargate' 'Holograph' 'Stargate' 'USDV' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'USDV' 'Stargate' nan 'USDV' 'USDV'
 'Stargate' 'Merkly' 'Stargate' 'Aptos Bridge' nan 'Stargate' 'USDV' nan
 'USDV' 'Merkly' 'USDV' 'USDV' nan 'USDV' nan nan 'USDV' 'USDV' nan
 'Holograph' 'Stargate' nan nan 'USDV' 'USDV' 'USDV' nan nan 'StakeStone'
 'Omni X' 'Stargate' 'USDV' 'USDV' 'Stargate' nan]",3866.91,36.48,9,13,17,2023/7/21 8:37,75,1072.95,"[77.64, 509.85, 9.38, 115.5, 83.76]"
20554775,0x66b60bbbe647130ea0f62fc5fe593caec4c99a0e,1.999,Tether : Binance,FALSE,68,"['Abracadabra Money' 'Stargate' 'Stargate' 'Angle' 'Abracadabra Money'
 'Bitcoin Bridge' 'Bitcoin Bridge' 'Stargate' 'Abracadabra Money' nan
 'Stargate' nan 'Holograph' 'Stargate' 'Stargate' 'Stargate' nan nan
 'Abracadabra Money' 'Stargate' 'Stargate' 'Stargate' nan 'Angle'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Aptos Bridge' nan 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'L2Marathon' 'Stargate' 'Angle' 'Stargate' 'Bitcoin Bridge'
 'Stargate' 'Stargate' 'Holograph' 'Angle' 'Aptos Bridge' 'Stargate'
 'Angle' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Mintly' 'Stargate' nan 'Aptos Bridge' 'Angle']",4882.43,71.8,9,13,17,2023/6/23 6:37,75,307.07,"[66.21, 7.8, 15.58, 18.55, 43.34]"
20517001,0x111058fe19c72ac0b67abe897be2953c9fdda74b,1.999,Tether : Binance,FALSE,78,"['L2Marathon' 'Stargate' 'Angle' 'L2Marathon' 'Angle' 'Angle' 'L2Marathon'
 'Angle' 'Angle' 'Angle' 'Angle' 'L2Marathon' 'Stargate' 'Stargate'
 'Stargate' 'DeFi Kingdoms' 'L2Marathon' 'Angle' 'Stargate' 'Angle'
 'L2Marathon' 'DeFi Kingdoms' 'Stargate' 'Angle' 'L2Marathon' 'Angle'
 'Angle' 'Stargate' 'Angle' 'DeFi Kingdoms' 'Stargate' 'L2Marathon'
 'l2telegraph' 'Stargate' 'Stargate' 'Angle' 'Maverick Protocol' 'Angle'
 'DeFi Kingdoms' 'Holograph' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'DeFi Kingdoms' 'Angle' 'Angle' 'Aptos Bridge' 'l2telegraph'
 'DeFi Kingdoms' 'Stargate' 'Stargate' 'Stargate' 'Angle' 'Stargate'
 'l2telegraph' 'Stargate' 'Angle' 'Angle' 'l2telegraph' 'Stargate'
 'L2Marathon' 'Angle' 'Aptos Bridge' 'L2Marathon' 'DeFi Kingdoms'
 'Stargate' 'L2Marathon' 'Merkly']",7441.32,95.4,9,12,19,2023/6/13 15:09,75,241.79,"[39.26, 30.94, 41.06, 0, 52.18]"
20491321,0xb058dfb8ed7488fa1c9882c20c3ef8ed5df234ec,1.999,Tether : Binance,FALSE,85,"['Omni X' 'Stargate' 'Stargate' 'Omni X' 'Bitcoin Bridge' 'Stargate'
 'Stargate' 'Holograph' 'Bitcoin Bridge' 'Stargate' 'Omni X' nan
 'Stargate' 'Stargate' 'Omni X' 'Stargate' 'Stargate' 'Holograph'
 'Stargate' 'Stargate' 'Omni X' 'Stargate' 'Omni X' 'Stargate' 'Stargate'
 'Stargate' nan 'Holograph' 'Holograph' 'Holograph' 'Stargate' 'Stargate'
 'Stargate' 'Omni X' 'Omni X' 'Stargate' 'Holograph' 'Stargate' 'L2Pass'
 nan 'Holograph' 'Holograph' 'Omni X' 'Holograph' 'Stargate' nan nan
 'Stargate' 'Omni X' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Holograph' 'Stargate' 'Stargate' nan 'Merkly' nan 'Omni X' 'Stargate'
 'Stargate' 'Stargate' 'Holograph' 'Holograph' 'Stargate' 'Tevaera'
 'Holograph' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Holograph'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Omni X' 'L2Pass' 'Stargate' 'Stargate' 'Bitcoin Bridge' 'Stargate']",2416.37,28.43,8,12,18,2023/5/14 13:55,75,240.7,"[36.4, 27.07, 15.2, 54.82, 42.33]"
20512886,0xe63f5df79667bfaa7fe002382299d1a4f0a94aee,1.999,Tether : Binance,FALSE,90,"['Merkly' 'Merkly' 'Stargate' 'Merkly' 'Merkly' nan 'Stargate' 'Stargate'
 'Stargate' 'Angle' 'Merkly' 'Merkly' 'Stargate' 'Angle' 'Merkly'
 'Stargate' 'Stargate' 'Angle' nan 'Stargate' nan 'Stargate' 'Merkly'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Merkly' 'Merkly' 'Merkly'
 'Merkly' 'Aptos Bridge' 'Merkly' 'Stargate' 'Merkly' 'Stargate'
 'Aptos Bridge' 'Merkly' 'Stargate' 'Stargate' 'Stargate' 'Angle' 'Angle'
 nan 'CoreDAO' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Abracadabra Money'
 'Stargate' 'Aptos Bridge' nan nan 'Stargate' 'Merkly' 'Merkly' 'Merkly'
 'Stargate' 'Angle' 'Stargate' 'Merkly' 'Aptos Bridge' 'Omni X' 'Stargate'
 'Merkly' 'Stargate' 'Merkly' 'Stargate' 'Stargate' 'Merkly' 'Stargate'
 nan 'Merkly' 'Aptos Bridge' 'Angle' 'Harmony Bridge' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Angle' 'Aptos Bridge'
 'Abracadabra Money' 'Stargate' nan 'Merkly' 'Abracadabra Money' 'Merkly']",326.63,3.63,9,9,20,2023/5/23 8:29,76,1081.63,"[12.76, 0, 271.35, 0, 33.94]"
20486811,0x68f2b5e05e17ba03c38f820f9c223bafc98c8300,2,Tether : Binance,FALSE,72,"['Orderly Network' 'Merkly' 'Merkly' 'Orderly Network' 'Orderly Network'
 nan 'Merkly' 'Merkly' 'Stargate' nan 'Merkly' 'Merkly' 'Merkly'
 'Maverick Protocol' 'Orderly Network' nan 'Merkly' 'Orderly Network'
 'Mintly' 'Merkly' 'OmniArt' 'Merkly' 'Fuse Bridge' 'Merkly' nan
 'GameSwift' 'GameSwift' 'Orderly Network' 'Orderly Network'
 'Orderly Network' 'Orderly Network' 'Mintly' 'Superform' 'Merkly'
 'Orderly Network' 'Merkly' 'Merkly' 'Merkly' 'Orderly Network' 'Merkly'
 nan 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' 'Merkly' nan
 'Orderly Network' 'Aptos Bridge' 'TraderJoe' 'Superform' 'Stargate'
 'Merkly' 'Merkly' 'Orderly Network' 'Orderly Network' 'Orderly Network'
 'Merkly' 'GameSwift' 'Merkly' 'Holograph' 'Merkly' nan 'Orderly Network'
 nan 'Merkly' 'Merkly' 'Orderly Network' nan 'Merkly']",39.08,0.54,13,7,16,2023/7/20 14:52,76,294.36,"[16.09, 1.24, 117.93, 1.24, 9.77]"
20468868,0xae23b6cc4ccee89f340f57de42b2ebeb8f367b07,1.9679,Tether : Binance,FALSE,70,"['Angle' 'Stargate' 'Stargate' nan nan 'Stargate' 'Angle' 'Angle'
 'Bitcoin Bridge' 'Testnet Bridge' 'Merkly' 'Angle' nan 'Merkly' 'Angle'
 'Angle' 'Stargate' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' nan
 'Angle' 'Stargate' 'Angle' 'Merkly' 'Aptos Bridge' 'Gas.zip' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Stargate'
 'Angle' nan 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' nan
 'Bitcoin Bridge' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Holograph' 'Stargate' 'Angle' 'Angle' 'Angle' 'Stargate'
 'Merkly' nan 'Angle' 'Merkly' 'Angle' 'Angle' 'Stargate' 'Angle']",6608.53,94.41,9,7,17,2023/5/15 21:10,76,27.53,"[0, 9.99, 0.55, 0, 0]"
20468832,0x01d0091d1b0aec4a7bf24f83e8fa378ba599bb83,1.9933,Tether : Binance,FALSE,72,"['Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' nan
 'Stargate' nan 'Angle' 'Angle' nan 'Stargate' 'Angle' nan 'Angle'
 'Merkly' 'Stargate' 'Angle' nan 'Gas.zip' nan 'Testnet Bridge' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Stargate'
 'Stargate' 'Angle' 'Merkly' nan 'Angle' 'Angle' 'Angle' nan 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' nan 'Holograph' 'Aptos Bridge' 'Bitcoin Bridge'
 'Angle' 'Merkly' 'Angle' 'Bitcoin Bridge' 'Stargate' 'Angle' 'Angle']",6443.17,89.49,9,6,16,2023/5/15 21:45,76,25.94,"[0, 8.56, 0.11, 0, 0]"
20468805,0xfae9a78bddc62ac526be05030f9ccf5ca5bbe124,1.9756,Tether : Binance,FALSE,68,"['Angle' nan 'Angle' nan 'Angle' nan 'Merkly' 'Stargate' 'Angle' 'Angle'
 'Angle' 'Aptos Bridge' 'Angle' 'Stargate' 'Angle' 'Stargate' 'Angle'
 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' nan nan 'Angle' nan 'Merkly'
 'Angle' 'Angle' 'Merkly' 'Bitcoin Bridge' 'Holograph' 'Angle' 'Stargate'
 'Testnet Bridge' 'Gas.zip' 'Stargate' 'Stargate' 'Stargate' 'Angle'
 'Angle' nan 'Stargate' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Stargate' 'Angle' 'Merkly' 'Stargate' 'Merkly' 'Merkly' 'Angle'
 'Bitcoin Bridge' 'Angle' 'Stargate' 'Angle']",6394.93,94.04,9,6,16,2023/5/15 21:01,76,28.92,"[0, 9.79, 2.08, 0, 0]"
20468770,0x58b3dbba622c02660862ebf9af785a474ff6cdf6,1.9704,Tether : Binance,FALSE,70,"['Merkly' 'Bitcoin Bridge' 'Stargate' 'Angle' 'Angle' nan 'Merkly'
 'Gas.zip' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Bitcoin Bridge'
 'Angle' 'Angle' 'Stargate' 'Merkly' 'Bitcoin Bridge' nan 'Angle' 'Angle'
 'Angle' nan nan 'Angle' 'Merkly' nan 'Angle' 'Angle' 'Stargate'
 'Testnet Bridge' 'Angle' 'Stargate' 'Merkly' 'Stargate' 'Angle'
 'Stargate' 'Angle' 'Merkly' 'Angle' 'Aptos Bridge' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Merkly'
 'Angle' 'Angle' 'Angle' 'Bitcoin Bridge' 'Angle' 'Angle' 'Holograph'
 'Angle' nan 'Angle']",7967.87,113.83,9,8,17,2023/5/15 21:01,76,28.25,"[0, 6.8, 0.31, 0, 0]"
20468751,0x165821d910914cc266ef39da7bd74e9e3acd1ecd,1.968,Tether : Binance,FALSE,63,"['Merkly' 'Angle' 'Angle' nan 'Angle' 'Merkly' 'Merkly' 'Angle'
 'Aptos Bridge' 'Bitcoin Bridge' 'Angle' 'Angle' 'Stargate' 'Angle' nan
 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate'
 'Angle' 'Testnet Bridge' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle'
 'Merkly' nan 'Angle' 'Stargate' 'Merkly' 'Stargate' 'Gas.zip' 'Angle'
 'Angle' 'Merkly' 'Angle' 'Holograph' 'Angle' 'Stargate' 'Stargate' nan
 'Angle' nan 'Angle' 'Angle' 'Angle' nan 'Angle' 'Merkly' 'Angle' 'Angle'
 'Angle' 'Angle' 'Stargate' 'Merkly' nan 'Bitcoin Bridge' 'Merkly']",5737.36,91.07,9,6,17,2023/5/15 21:35,76,28.96,"[0, 14.01, 0.04, 0, 0]"
20468710,0xd6d6c4927768b5ed8f49ab9cb466589ce9ad128a,1.9552,Tether : Binance,FALSE,75,"['Angle' 'Angle' 'Merkly' 'Stargate' 'Stargate' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Merkly' nan 'Merkly' 'Angle' 'Aptos Bridge' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' 'Angle' nan nan
 'Angle' 'Angle' 'Bitcoin Bridge' 'Angle' 'Testnet Bridge' 'Gas.zip'
 'Stargate' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Merkly'
 'Holograph' 'Angle' 'Angle' 'Angle' nan 'Angle' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' nan 'Angle' 'Bitcoin Bridge' 'Stargate' 'Angle'
 'Merkly' 'Angle' 'Angle' nan 'Angle' 'Angle' 'Stargate' 'Merkly' 'Angle'
 'Angle' 'Merkly' 'Angle' 'Stargate' 'Angle' 'Angle' nan 'Merkly'
 'Stargate' 'Angle' 'Merkly' 'Angle']",5583.56,74.45,9,6,17,2023/5/15 21:36,76,31.56,"[0, 11.0, 2.16, 0, 0]"
20468687,0xe240bf10bd5791502cbf2008ca52cf5a96f41323,1.9695,Tether : Binance,FALSE,70,"['Angle' 'Merkly' 'Gas.zip' 'Stargate' 'Angle' 'Merkly' 'Merkly' nan
 'Angle' 'Angle' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Angle' nan 'Angle'
 'Stargate' 'Angle' 'Aptos Bridge' 'Stargate' 'Holograph' 'Angle'
 'Stargate' 'Angle' 'Stargate' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' nan 'Stargate' nan
 'Stargate' 'Angle' 'Angle' 'Bitcoin Bridge' 'Testnet Bridge' 'Angle'
 'Merkly' 'Angle' 'Stargate' nan nan 'Stargate' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle'
 nan 'Stargate' 'Bitcoin Bridge' 'Angle' 'Merkly' 'Stargate']",5894,84.2,9,6,17,2023/5/15 21:26,76,30.77,"[0, 11.42, 1.71, 0, 0]"
20468674,0xd582d3d861f3895bc6aafc3421771e699f170723,1.9659,Tether : Binance,FALSE,72,"['Angle' 'Angle' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Angle' nan
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' 'Merkly'
 'Angle' nan 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Angle'
 'Gas.zip' 'Angle' 'Stargate' 'Angle' 'Merkly' 'Merkly' 'Holograph'
 'Testnet Bridge' 'Angle' 'Stargate' 'Stargate' 'Angle' 'Angle' 'Angle'
 'Angle' nan 'Angle' 'Angle' 'Bitcoin Bridge' 'Angle' 'Stargate'
 'Bitcoin Bridge' 'Stargate' 'Merkly' nan nan 'Angle' 'Angle' 'Angle'
 'Stargate' 'Stargate' nan 'Merkly' 'Angle' 'Angle' 'Angle' 'Aptos Bridge'
 'Merkly' nan 'Stargate' 'Angle' 'Merkly' 'Angle' 'Stargate' 'Angle']",5997.33,83.3,9,6,17,2023/5/15 20:45,76,31.84,"[0, 10.1, 2.01, 0, 0]"
20468609,0xad368eaf99834cb5983458d51d1eaf2b4c84ce84,1.9629,Tether : Binance,FALSE,62,"['Angle' 'Angle' 'Angle' nan 'Testnet Bridge' 'Angle' 'Angle' 'Angle'
 'Bitcoin Bridge' 'Angle' 'Angle' nan 'Stargate' 'Merkly' 'Angle' nan
 'Angle' 'CoreDAO' 'Angle' 'CoreDAO' nan 'Bitcoin Bridge' 'Aptos Bridge'
 'Angle' 'Stargate' 'Merkly' nan 'Angle' 'Stargate' 'Angle' 'Angle'
 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly'
 'Angle' 'Stargate' 'Angle' 'Stargate' nan 'Merkly' 'Merkly' 'CoreDAO'
 'Gas.zip' 'Angle' 'Merkly' 'Angle' nan 'Merkly' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' 'Stargate' 'Holograph' 'CoreDAO' 'Angle']",71.45,1.15,10,7,16,2023/5/15 21:26,76,24.73,"[0, 9.21, 0.54, 0, 0]"
20468561,0xe98cdc9351bd2a86d00d5c34bdb1abfa903fd702,1.9987,Tether : Binance,FALSE,71,"['Merkly' nan 'Angle' 'Angle' 'Stargate' 'Bitcoin Bridge' 'Angle'
 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' nan
 'Angle' 'Angle' 'Aptos Bridge' 'Angle' 'Angle' 'Holograph' 'CoreDAO'
 'Angle' 'Stargate' 'Angle' 'Angle' 'CoreDAO' 'Stargate' 'Angle' nan
 'Stargate' 'Bitcoin Bridge' 'Stargate' 'Angle' 'Stargate' 'Angle' 'Angle'
 nan 'Stargate' 'Angle' 'Angle' 'CoreDAO' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'CoreDAO' nan 'Angle' nan 'Angle' 'Testnet Bridge'
 'Angle' 'Angle' 'Angle' 'CoreDAO' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 nan 'Angle' 'Angle' 'Angle' 'Stargate' 'Stargate' 'Gas.zip']",69.8,0.98,10,6,13,2023/5/15 20:01,76,52.12,"[0, 15.07, 0.6, 0, 21.67]"
20468537,0xf0a104fbe8f4ace984485b07374a8e64410dc71e,1.9855,Tether : Binance,FALSE,66,"['Angle' 'Angle' nan 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle' 'CoreDAO'
 'Angle' 'CoreDAO' nan 'Angle' nan 'Angle' 'Angle' 'Stargate' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' 'Stargate'
 'Stargate' 'Angle' 'Angle' 'Testnet Bridge' 'Angle' 'Angle' 'Stargate'
 'Stargate' 'Gas.zip' 'Angle' 'Bitcoin Bridge' 'Merkly' 'Angle' nan
 'Angle' 'CoreDAO' 'Angle' 'Angle' 'Stargate' 'Angle' 'Angle' 'Angle'
 'Angle' 'CoreDAO' 'Angle' 'Bitcoin Bridge' 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' nan nan 'Angle' 'Stargate' 'Angle' 'Aptos Bridge' 'Angle'
 'Angle' nan]",72.56,1.1,9,6,13,2023/5/14 11:34,76,55.01,"[0, 14.87, 0.54, 0, 21.36]"
20468427,0x222b9196db6bb4deede1fcd5672a436be533438f,1.9672,Tether : Binance,FALSE,69,"['Stargate' 'Merkly' 'Angle' nan 'Aptos Bridge' 'Testnet Bridge' 'Merkly'
 'Angle' 'Angle' 'Angle' 'Merkly' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Angle' nan 'Bitcoin Bridge' 'Merkly' 'Angle' 'CoreDAO' 'Stargate'
 'Angle' 'Angle' 'Angle' 'Angle' 'Holograph' 'CoreDAO' nan
 'Bitcoin Bridge' 'Stargate' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'CoreDAO' 'CoreDAO' 'Stargate' 'Stargate' 'Stargate' nan 'Angle' 'Angle'
 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle' 'Merkly' nan 'Merkly'
 'Angle' nan 'Angle' 'Stargate' 'Angle' 'Stargate' 'Merkly' nan 'Angle'
 'Merkly' 'Angle' 'Angle' 'Angle' 'Gas.zip' 'Stargate']",72.85,1.06,10,6,16,2023/5/14 11:31,76,57.94,"[0, 14.45, 0.98, 0, 22.68]"
20468422,0xd6a17fc79347d024310f42837c6b70e109299a61,1.9771,Tether : Binance,FALSE,73,"['Angle' 'Stargate' 'Stargate' 'Merkly' 'Stargate' 'Stargate' 'CoreDAO'
 'Angle' 'Merkly' 'Bitcoin Bridge' 'Angle' 'Angle' 'Angle' 'Angle' 'Angle'
 'Stargate' nan 'Aptos Bridge' 'Angle' 'Angle' nan 'Angle' 'CoreDAO'
 'Angle' 'Angle' 'Bitcoin Bridge' 'Gas.zip' 'Stargate' 'Angle' 'Merkly'
 'Angle' 'Stargate' nan 'Angle' 'Merkly' nan 'Angle' 'Angle' 'Angle'
 'Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' nan 'Holograph' 'Angle'
 'Angle' 'Angle' 'CoreDAO' 'Merkly' 'Angle' 'Merkly' 'Angle' 'Angle' nan
 'Angle' 'Angle' nan 'Angle' 'Angle' nan 'Merkly' 'Merkly' 'CoreDAO'
 'Angle' 'Angle' 'Angle' 'Stargate' 'Testnet Bridge' 'Merkly' 'Angle' nan]",60.46,0.83,10,6,16,2023/5/14 9:19,76,49.13,"[0, 8.93, 2.7, 0, 22.56]"
